product_name,price,unit,unit_price,image_name,integration_date,supermarket
Büttner Olaszrizling,1499,Ft,1l=1999Ft,minden-buttner-20-2004020321131-1-5k.png,2021-11-11 15:36:06.334066,tesco
Canal Toys airbrush plüss,6599,Ft/szett,,canal-toys-airbrush-pluss-2005100608930-2-5k.png,2021-11-11 15:36:06.334066,tesco
Canal Toys állatklinika slime,6699,Ft/szett,,canal-toys-allatklinika-slime-2005100608931-2-5k.png,2021-11-11 15:36:06.334066,tesco
Cápa játékszett színváltós kisautóval,3299,Ft/szett,,capa-jatekszett-szinvaltos-kisautoval-2005100598155-1-5k.png,2021-11-11 15:36:06.334066,tesco
Cappy gyümölcsnektár vagy 100%-os gyümölcslé,399,Ft/db,,cappy-gyumolcsle-1l-2004009892411-1-5k.png,2021-11-11 15:36:06.342305,tesco
Captain Morgan Spiced Gold szeszes ital,4999,Ft,1l=9557Ft,captain-morgan-spiced-white-tiki-0-7l-2004009937754-1-5k.png,2021-11-11 15:36:06.343303,tesco
Carobna kandalló,79990,Ft,magasság×szélességxmélység,carobna-kandallo-2004020321472-1-5k.png,2021-11-11 15:36:06.344299,tesco
Carotina Baby Park formák és színek,5599,Ft,,carotina-baby-park-formak-es-szinek-2005100617622-1-5k.png,2021-11-11 15:36:06.344299,tesco
Carotina fejlesztő kiskocsi,5899,Ft,,carotina-fejleszto-kiskocsi-2005100366289-1-5k.png,2021-11-11 15:36:06.344299,tesco
Carousel labda,2399,Ft/cs,1db=24Ft,carousel-labda-2005100107645-1-5k.png,2021-11-11 15:36:06.347238,tesco
Carousel labdatengerdzsungel,3999,Ft,,carousel-labdatenger-dzsungel-2005100135508-1-5k.png,2021-11-11 15:36:06.347238,tesco
Celebrations ünnepi válogatás,2699,Ft,1kg=10574Ft,celebration-unnepi-uveg-sleeved-312g-2004020324421-1-5k.png,2021-11-11 15:36:06.348267,tesco
"Ceresit AERO páramentesítő utántöltő tabletta, Ceresit Stop Pára Aero 360° páramentesítő készülék",2199,Ft/cs,1db=1099.5Ft,ceresit-stop-vlhkosti-aero-360-2004009265741-1-5k.png,2021-11-11 15:36:06.349311,tesco
Chio snack,269,Ft/cs,,chio-snack-2004002766405-1-1k.png,2021-11-11 15:36:06.350340,tesco
Chivas Regal whisky díszdobozban,6999,Ft/db,1l=9999Ft,chivas-regal-whisky-diszdobozban-2004009680377-1-5k.png,2021-11-11 15:36:06.351308,tesco
Citrom lédig,146,Ft/db,1kg=699Ft,citrom-ledig-2004005763951.png,2021-11-11 15:36:06.351308,tesco
Clementoni 1000 Kvíz Interaktív toll,3699,Ft,,clementoni-1000-kviz-interaktiv-toll-2005100608494-1-5k.png,2021-11-11 15:36:06.352706,tesco
Clementoni brilians ékkövek kirakó,1699,Ft,,brilians-ekkovek-kirako-2005100404911-1-5k.png,2021-11-11 15:36:06.352706,tesco
Clementoni farm állatos interaktív vonat,7799,Ft,,farm-allatos-interaktiv-vonat-2005100608495-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clementoni interaktív motor,5599,Ft,csomagolás,clementoni-interaktiv-motor-2005100135459-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clementoni karácsonyi kirakóválogatás,2399,Ft/db,,karacsonyi-kirako-valogatas-2005100620653-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clementoni kicsi robot állatkák,2999,Ft/db,,clementoni-kicsi-robot-allat-2005100614008-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clementoni Mecha sárkány,11190,Ft,,clementoni-mecha-sarkany-2005100614010-1-5k.png,2021-11-11 15:36:06.353737,tesco
